Date,Price,Open,High,Low,Vol.,Change %
"May 13, 2010",125.86,125.55,126.1,125.37,722.39K,0.15%
"May 12, 2010",125.67,125.88,125.95,125.43,835.46K,0.03%
"May 11, 2010",125.63,125.69,126.29,125.56,1.08M,0.11%
"May 10, 2010",125.49,125.81,125.87,124.94,1.36M,-1.17%
"May 07, 2010",126.97,127.2,127.65,126.41,1.69M,-0.03%
"May 06, 2010",127.01,126.37,127.99,125.74,1.62M,0.52%
"May 05, 2010",126.35,125.61,126.59,125.44,1.49M,0.67%
"May 04, 2010",125.51,124.47,125.82,124.43,1.28M,0.81%
"May 03, 2010",124.5,124.61,124.66,124.27,353.58K,-0.28%
"Apr 30, 2010",124.85,124.59,124.91,124.31,821.38K,0.34%
"Apr 29, 2010",124.43,124.75,124.76,124.23,951.40K,-0.14%
"Apr 28, 2010",124.6,125.2,125.51,124.3,1.83M,-0.03%
"Apr 27, 2010",124.64,124.09,125.34,124.05,1.11M,0.47%
"Apr 26, 2010",124.06,123.89,124.34,123.77,812.54K,0.07%
"Apr 23, 2010",123.97,123.95,124.12,123.57,989.74K,-0.03%
"Apr 22, 2010",124.01,123.77,124.31,123.64,1.26M,0.20%
"Apr 21, 2010",123.76,123.42,123.87,123.37,921.09K,0.21%
"Apr 20, 2010",123.5,123.66,123.74,123.39,874.06K,-0.19%
"Apr 19, 2010",123.74,123.71,123.88,123.59,704.67K,0.07%
"Apr 16, 2010",123.65,123.28,123.74,123.25,829.04K,0.37%
"Apr 15, 2010",123.19,122.93,123.39,122.87,1.03M,0.04%
"Apr 14, 2010",123.14,122.89,123.26,122.78,998.15K,0.13%
"Apr 13, 2010",122.98,122.7,123.13,122.62,920.85K,0.25%
"Apr 12, 2010",122.67,122.53,122.78,122.11,811.38K,-0.14%
"Apr 09, 2010",122.84,123.32,123.36,122.71,936.65K,-0.51%
"Apr 08, 2010",123.47,123.28,123.6,123.27,731.92K,0.29%
"Apr 07, 2010",123.11,122.88,123.41,122.83,821.39K,0.19%
"Apr 06, 2010",122.88,122.98,123.18,122.54,884.35K,-0.45%
"Apr 01, 2010",123.44,123.38,123.5,123.13,664.20K,0.07%
"Mar 31, 2010",123.35,123.25,123.52,123.18,837.46K,0.14%
"Mar 30, 2010",123.18,122.92,123.32,122.77,800.62K,0.17%
"Mar 29, 2010",122.97,122.74,123.13,122.62,631.13K,0.19%
"Mar 26, 2010",122.74,122.76,122.88,122.6,738.60K,-0.11%
"Mar 25, 2010",122.87,123.28,123.36,122.53,1.04M,-0.53%
"Mar 24, 2010",123.53,123.66,123.77,123.24,1.10M,-0.11%
"Mar 23, 2010",123.67,123.56,123.78,123.53,632.01K,0.07%
"Mar 22, 2010",123.58,123.17,123.69,123.13,640.48K,0.32%
"Mar 19, 2010",123.19,123.06,123.27,122.87,723.18K,0.09%
