Date,Price,Open,High,Low,Change%
"Mar 14, 2001",10.417,10.417,10.417,10.417,0.66%
"Mar 13, 2001",10.349,10.349,10.349,10.349,1.47%
"Mar 12, 2001",10.199,10.199,10.199,10.199,0.07%
"Mar 09, 2001",10.192,10.192,10.192,10.192,0.36%
"Mar 08, 2001",10.155,10.155,10.155,10.155,0.22%
"Mar 07, 2001",10.133,10.133,10.133,10.133,-1.71%
"Mar 05, 2001",10.309,10.309,10.309,10.309,1.81%
"Mar 03, 2001",10.126,10.126,10.126,10.126,0.66%
"Mar 02, 2001",10.06,10.06,10.06,10.06,0.66%
"Mar 01, 2001",9.994,9.994,9.994,9.994,-0.83%
"Feb 28, 2001",10.078,10.078,10.078,10.078,-1.77%
"Feb 27, 2001",10.26,10.26,10.26,10.26,-0.49%
"Feb 26, 2001",10.311,10.311,10.311,10.311,-0.05%
"Feb 24, 2001",10.316,10.316,10.316,10.316,0.13%
"Feb 23, 2001",10.303,10.303,10.303,10.303,0.20%
"Feb 22, 2001",10.282,10.282,10.282,10.282,0.14%
"Feb 20, 2001",10.268,10.268,10.268,10.268,-0.04%
"Feb 17, 2001",10.272,10.272,10.272,10.272,-0.52%
"Feb 16, 2001",10.326,10.326,10.326,10.326,-1.67%
"Feb 15, 2001",10.501,10.501,10.501,10.501,1.47%
"Feb 14, 2001",10.349,10.349,10.349,10.349,0.27%
"Feb 13, 2001",10.321,10.321,10.321,10.321,0.09%
"Feb 12, 2001",10.312,10.312,10.312,10.312,0.00%
"Feb 10, 2001",10.312,10.312,10.312,10.312,0.14%
"Feb 09, 2001",10.298,10.298,10.298,10.298,-0.37%
"Feb 08, 2001",10.336,10.336,10.336,10.336,-0.94%
"Feb 07, 2001",10.434,10.434,10.434,10.434,-0.73%
"Feb 06, 2001",10.511,10.511,10.511,10.511,-0.55%
"Feb 05, 2001",10.569,10.569,10.569,10.569,1.07%
"Feb 03, 2001",10.457,10.457,10.457,10.457,-0.07%
"Feb 02, 2001",10.464,10.464,10.464,10.464,0.00%
"Feb 01, 2001",10.464,10.464,10.464,10.464,0.38%
"Jan 31, 2001",10.424,10.424,10.424,10.424,-0.54%
"Jan 30, 2001",10.481,10.481,10.481,10.481,-0.47%
"Jan 29, 2001",10.53,10.53,10.53,10.53,0.85%
"Jan 27, 2001",10.441,10.441,10.441,10.441,-0.31%
"Jan 25, 2001",10.473,10.473,10.473,10.473,0.50%
"Jan 24, 2001",10.421,10.421,10.421,10.421,-0.04%
"Jan 23, 2001",10.425,10.425,10.425,10.425,-0.31%
"Jan 22, 2001",10.457,10.457,10.457,10.457,-0.24%
"Jan 20, 2001",10.482,10.482,10.482,10.482,-0.47%
"Jan 19, 2001",10.531,10.531,10.531,10.531,-0.32%
"Jan 18, 2001",10.565,10.565,10.565,10.565,-0.46%
"Jan 17, 2001",10.614,10.614,10.614,10.614,-0.14%
"Jan 16, 2001",10.629,10.629,10.629,10.629,0.12%
"Jan 15, 2001",10.616,10.616,10.616,10.616,-0.16%
"Jan 13, 2001",10.633,10.633,10.633,10.633,-0.18%
"Jan 12, 2001",10.652,10.652,10.652,10.652,-0.44%
"Jan 11, 2001",10.699,10.699,10.699,10.699,0.04%
"Jan 10, 2001",10.695,10.695,10.695,10.695,0.14%
"Jan 09, 2001",10.68,10.68,10.68,10.68,0.17%
"Jan 08, 2001",10.662,10.662,10.662,10.662,-0.19%
"Jan 06, 2001",10.682,10.682,10.682,10.682,0.07%
"Jan 05, 2001",10.674,10.674,10.674,10.674,-0.12%
"Jan 04, 2001",10.687,10.687,10.687,10.687,-1.00%
"Jan 03, 2001",10.795,10.795,10.795,10.795,-0.21%
"Jan 02, 2001",10.818,10.818,10.818,10.818,0.14%
"Jan 01, 2001",10.803,10.803,10.803,10.803,-0.74%
"Dec 30, 2000",10.884,10.884,10.884,10.884,-0.09%
"Dec 29, 2000",10.894,10.894,10.894,10.894,-0.24%
"Dec 27, 2000",10.92,10.92,10.92,10.92,-0.55%
"Dec 26, 2000",10.98,10.98,10.98,10.98,0.13%
"Dec 23, 2000",10.966,10.966,10.966,10.966,-0.05%
"Dec 22, 2000",10.971,10.971,10.971,10.971,-0.25%
"Dec 21, 2000",10.998,10.998,10.998,10.998,0.40%
"Dec 20, 2000",10.954,10.954,10.954,10.954,0.20%
"Dec 19, 2000",10.932,10.932,10.932,10.932,-0.36%
"Dec 18, 2000",10.971,10.971,10.971,10.971,-0.82%
"Dec 16, 2000",11.062,11.062,11.062,11.062,-0.14%
"Dec 15, 2000",11.077,11.077,11.077,11.077,-0.17%
"Dec 14, 2000",11.096,11.096,11.096,11.096,-0.06%
"Dec 13, 2000",11.103,11.103,11.103,11.103,0.05%
"Dec 12, 2000",11.098,11.098,11.098,11.098,0.00%
"Dec 11, 2000",11.098,11.098,11.098,11.098,0.04%
"Dec 09, 2000",11.094,11.094,11.094,11.094,-0.80%
"Dec 08, 2000",11.183,11.183,11.183,11.183,-0.29%
"Dec 07, 2000",11.215,11.215,11.215,11.215,-0.49%
"Dec 06, 2000",11.27,11.27,11.27,11.27,-0.48%
"Dec 05, 2000",11.324,11.324,11.324,11.324,-0.09%
"Dec 04, 2000",11.334,11.334,11.334,11.334,0.02%
"Dec 02, 2000",11.332,11.332,11.332,11.332,0.03%
"Dec 01, 2000",11.329,11.329,11.329,11.329,-0.17%
"Nov 30, 2000",11.348,11.348,11.348,11.348,-0.13%
"Nov 29, 2000",11.363,11.363,11.363,11.363,-0.11%
"Nov 28, 2000",11.375,11.375,11.375,11.375,-0.12%
"Nov 27, 2000",11.389,11.389,11.389,11.389,0.23%
"Nov 25, 2000",11.363,11.363,11.363,11.363,0.08%
"Nov 24, 2000",11.354,11.354,11.354,11.354,0.17%
"Nov 23, 2000",11.335,11.335,11.335,11.335,0.21%
"Nov 22, 2000",11.311,11.311,11.311,11.311,0.12%
"Nov 21, 2000",11.297,11.297,11.297,11.297,0.06%
"Nov 20, 2000",11.29,11.29,11.29,11.29,0.18%
"Nov 18, 2000",11.27,11.27,11.27,11.27,-0.01%
"Nov 17, 2000",11.271,11.271,11.271,11.271,0.34%
"Nov 16, 2000",11.233,11.233,11.233,11.233,-0.16%
"Nov 15, 2000",11.251,11.251,11.251,11.251,-0.11%
"Nov 14, 2000",11.263,11.263,11.263,11.263,0.01%
"Nov 13, 2000",11.262,11.262,11.262,11.262,0.00%
"Nov 10, 2000",11.262,11.262,11.262,11.262,-0.06%
"Nov 09, 2000",11.269,11.269,11.269,11.269,0.08%
"Nov 08, 2000",11.26,11.26,11.26,11.26,-0.19%
"Nov 07, 2000",11.282,11.282,11.282,11.282,-0.77%
"Nov 06, 2000",11.37,11.37,11.37,11.37,-0.43%
"Nov 04, 2000",11.419,11.419,11.419,11.419,-0.08%
"Nov 03, 2000",11.428,11.428,11.428,11.428,-0.94%
"Nov 02, 2000",11.537,11.537,11.537,11.537,-0.44%
"Nov 01, 2000",11.588,11.588,11.588,11.588,-0.10%
"Oct 31, 2000",11.6,11.6,11.6,11.6,-0.03%
"Oct 30, 2000",11.604,11.604,11.604,11.604,-0.16%
"Oct 27, 2000",11.623,11.623,11.623,11.623,0.10%
"Oct 25, 2000",11.611,11.611,11.611,11.611,-0.17%
"Oct 24, 2000",11.631,11.631,11.631,11.631,-0.14%
"Oct 23, 2000",11.647,11.647,11.647,11.647,-0.01%
"Oct 21, 2000",11.648,11.648,11.648,11.648,-0.03%
"Oct 20, 2000",11.652,11.652,11.652,11.652,-0.10%
"Oct 19, 2000",11.664,11.664,11.664,11.664,-0.02%
"Oct 18, 2000",11.666,11.666,11.666,11.666,0.03%
"Oct 17, 2000",11.662,11.662,11.662,11.662,-0.16%
"Oct 16, 2000",11.681,11.681,11.681,11.681,-0.16%
"Oct 14, 2000",11.7,11.7,11.7,11.7,-0.15%
"Oct 13, 2000",11.717,11.717,11.717,11.717,0.58%
"Oct 12, 2000",11.649,11.649,11.649,11.649,-0.22%
"Oct 11, 2000",11.675,11.675,11.675,11.675,0.59%
"Oct 10, 2000",11.607,11.607,11.607,11.607,0.15%
"Oct 09, 2000",11.59,11.59,11.59,11.59,-0.08%
"Oct 06, 2000",11.599,11.599,11.599,11.599,-0.36%
"Oct 05, 2000",11.641,11.641,11.641,11.641,0.66%
"Oct 04, 2000",11.565,11.565,11.565,11.565,0.15%
"Oct 03, 2000",11.548,11.548,11.548,11.548,0.07%
"Sep 29, 2000",11.54,11.54,11.54,11.54,0.00%
"Sep 28, 2000",11.54,11.54,11.54,11.54,-0.08%
"Sep 27, 2000",11.549,11.549,11.549,11.549,0.36%
"Sep 26, 2000",11.507,11.507,11.507,11.507,0.00%
"Sep 25, 2000",11.507,11.507,11.507,11.507,0.00%
"Sep 23, 2000",11.507,11.507,11.507,11.507,0.00%
"Sep 22, 2000",11.507,11.507,11.507,11.507,-0.37%
"Sep 21, 2000",11.55,11.55,11.55,11.55,-0.80%
"Sep 20, 2000",11.643,11.643,11.643,11.643,-0.29%
"Sep 19, 2000",11.677,11.677,11.677,11.677,0.29%
"Sep 18, 2000",11.643,11.643,11.643,11.643,0.44%
"Sep 16, 2000",11.592,11.592,11.592,11.592,0.22%
"Sep 15, 2000",11.567,11.567,11.567,11.567,0.58%
"Sep 14, 2000",11.5,11.5,11.5,11.5,0.14%
"Sep 13, 2000",11.484,11.484,11.484,11.484,0.17%
"Sep 12, 2000",11.464,11.464,11.464,11.464,-0.17%
"Sep 11, 2000",11.484,11.484,11.484,11.484,-0.11%
"Sep 09, 2000",11.497,11.497,11.497,11.497,0.03%
"Sep 08, 2000",11.493,11.493,11.493,11.493,0.00%
"Sep 07, 2000",11.493,11.493,11.493,11.493,-0.24%
"Sep 06, 2000",11.521,11.521,11.521,11.521,0.17%
"Sep 05, 2000",11.501,11.501,11.501,11.501,0.29%
"Sep 04, 2000",11.468,11.468,11.468,11.468,-0.22%
"Sep 02, 2000",11.493,11.493,11.493,11.493,-0.10%
"Aug 31, 2000",11.505,11.505,11.505,11.505,0.10%
"Aug 30, 2000",11.494,11.494,11.494,11.494,0.29%
"Aug 29, 2000",11.461,11.461,11.461,11.461,-0.07%
"Aug 28, 2000",11.469,11.469,11.469,11.469,-0.08%
"Aug 26, 2000",11.478,11.478,11.478,11.478,0.00%
"Aug 25, 2000",11.478,11.478,11.478,11.478,-0.22%
