Date,Price,Open,High,Low,Vol.,Change %
"Nov 01, 2007",107.39,106.8,107.51,106.67,134.13K,0.08%
"Oct 31, 2007",107.3,107.76,107.81,107.07,113.39K,-0.40%
"Oct 30, 2007",107.73,107.81,107.87,107.59,63.27K,-0.17%
"Oct 29, 2007",107.91,107.93,107.95,107.54,60.46K,0.05%
"Oct 26, 2007",107.86,107.8,108.09,107.66,69.02K,-0.05%
"Oct 25, 2007",107.91,107.91,107.98,107.74,93.02K,-0.09%
"Oct 24, 2007",108.01,107.71,108.06,107.6,100.88K,0.35%
"Oct 23, 2007",107.63,107.56,107.65,107.38,91.25K,-0.12%
"Oct 22, 2007",107.76,107.66,108.03,107.54,93.48K,0.15%
"Oct 19, 2007",107.6,107.17,107.73,107.01,94.33K,0.54%
"Oct 18, 2007",107.02,106.59,107.18,106.55,110.41K,0.40%
"Oct 17, 2007",106.59,106.36,106.65,106.22,82.12K,0.31%
"Oct 16, 2007",106.26,106.16,106.46,106.12,97.08K,0.11%
"Oct 15, 2007",106.14,106.23,106.34,106.04,62.43K,-0.09%
"Oct 12, 2007",106.24,106.93,107,106.17,90.58K,-0.45%
"Oct 11, 2007",106.72,107.06,107.09,106.56,111.60K,-0.29%
"Oct 10, 2007",107.03,107.32,107.49,106.88,133.71K,-0.61%
"Oct 09, 2007",107.69,107.33,107.76,107.26,81.53K,0.41%
"Oct 08, 2007",107.25,107.25,107.39,106.97,37.80K,-0.01%
"Oct 05, 2007",107.26,107.44,107.52,106.93,88.02K,-0.07%
"Oct 04, 2007",107.33,107.23,107.48,107.18,98.53K,0.15%
"Oct 03, 2007",107.17,107.3,107.63,107.14,113.56K,-0.07%
"Oct 02, 2007",107.25,106.81,107.48,106.71,112.81K,0.18%
"Oct 01, 2007",107.06,106.83,107.12,106.59,76.92K,0.11%
"Sep 28, 2007",106.94,106.7,107.02,106.61,66.97K,0.40%
"Sep 27, 2007",106.51,106.31,106.73,106.29,84.61K,-0.21%
"Sep 26, 2007",106.73,106.65,106.77,106.62,1.99K,-0.12%
"Sep 25, 2007",106.86,106.84,106.9,106.75,2.99K,0.30%
"Sep 24, 2007",106.54,106.56,106.72,106.42,19.22K,0.08%
"Sep 21, 2007",106.46,106.55,106.75,106.38,1.61K,-0.45%
"Sep 20, 2007",106.94,107.37,107.37,106.76,11.91K,-0.31%
"Sep 19, 2007",107.27,107.54,107.71,107.24,2.91K,-0.33%
"Sep 18, 2007",107.63,108.36,108.36,107.55,0.55K,-0.70%
"Sep 17, 2007",108.39,108.66,108.66,108.24,1.27K,0.10%
"Sep 14, 2007",108.28,107.9,108.45,107.9,6.60K,0.44%
"Sep 13, 2007",107.81,108.21,108.27,107.76,3.77K,-0.21%
"Sep 12, 2007",108.04,107.95,108.13,107.9,1.74K,0.05%
"Sep 11, 2007",107.99,107.89,108.01,107.73,4.08K,-0.05%
"Sep 10, 2007",108.04,107.64,108.07,107.58,1.65K,0.35%
"Sep 07, 2007",107.66,107.2,107.72,107.05,3.76K,0.49%
"Sep 06, 2007",107.14,106.89,107.14,106.78,8.08K,0.15%
"Sep 05, 2007",106.98,106.98,107.09,106.42,26.85K,0.29%
"Sep 04, 2007",106.67,106.85,107.13,106.58,17.31K,-0.05%
"Sep 03, 2007",106.72,106.95,106.97,106.63,11.29K,-0.28%
"Aug 31, 2007",107.02,106.87,107.1,106.46,88.98K,-0.05%
"Aug 30, 2007",107.07,106.92,107.17,106.8,183.30K,0.06%
"Aug 29, 2007",107.01,106.95,107.34,106.78,277.13K,0.16%
"Aug 28, 2007",106.84,106.88,106.92,106.52,254.79K,0.17%
"Aug 24, 2007",106.66,106.93,106.98,106.52,86.34K,-0.10%
"Aug 23, 2007",106.77,106.19,106.98,106.15,76.87K,0.22%
